"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22032","Test Checkout Split ST BT Moto Guest User","","Thu Jan 29 23:58:09 UTC 2026","failed","Thu Jan 29 23:58:31 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","78636","Test Checkout Split ST Moto Recurrent User","","Thu Jan 29 23:52:26 UTC 2026","failed","Thu Jan 29 23:53:45 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","75631","Test Checkout Split Siman Recurrent User","","Thu Jan 29 23:39:17 UTC 2026","failed","Thu Jan 29 23:40:32 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","43322","Test Checkout Split ST BT MK Guest User","","Thu Jan 29 23:45:07 UTC 2026","failed","Thu Jan 29 23:45:51 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","142852","Test Checkout Split Siman New User","","Thu Jan 29 23:36:54 UTC 2026","passed","Thu Jan 29 23:39:17 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","75997","Test Checkout Split ST BT MK Recurrent User","","Thu Jan 29 23:47:59 UTC 2026","failed","Thu Jan 29 23:49:15 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","55776","Test Checkout Split ST BT MK Moto New User","","Fri Jan 30 00:04:34 UTC 2026","failed","Fri Jan 30 00:05:30 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","55495","Test Checkout Split ST BT Moto New User","","Thu Jan 29 23:58:31 UTC 2026","failed","Thu Jan 29 23:59:27 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","32725","Test Checkout Split ST Moto Guest User","","Thu Jan 29 23:49:15 UTC 2026","passed","Thu Jan 29 23:49:48 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","74016","Test Checkout Split MK Recurrent User","","Thu Jan 29 23:43:53 UTC 2026","failed","Thu Jan 29 23:45:07 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","128103","Test Checkout Split ST BT MK New User","","Thu Jan 29 23:45:51 UTC 2026","failed","Thu Jan 29 23:47:59 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","48616","Test Checkout Split Siman Guest User","","Thu Jan 29 23:36:05 UTC 2026","failed","Thu Jan 29 23:36:54 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","74658","Test Checkout Split ST BT MK Moto Recurrent User","","Fri Jan 30 00:05:30 UTC 2026","failed","Fri Jan 30 00:06:45 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","73698","Test Checkout Split MK Moto Recurrent User","","Fri Jan 30 00:02:58 UTC 2026","failed","Fri Jan 30 00:04:12 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","22468","Test Checkout Split ST BT MK Moto Guest User","","Fri Jan 30 00:04:12 UTC 2026","failed","Fri Jan 30 00:04:34 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","114986","Test Checkout Split MK Moto New User","","Fri Jan 30 00:01:03 UTC 2026","failed","Fri Jan 30 00:02:58 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","158800","Test Checkout Split ST Moto New User","","Thu Jan 29 23:49:48 UTC 2026","failed","Thu Jan 29 23:52:26 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","73533","Test Checkout Split BT Moto Recurrent User","","Thu Jan 29 23:56:56 UTC 2026","failed","Thu Jan 29 23:58:09 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","158597","Test Checkout Split BT Moto New User","","Thu Jan 29 23:54:17 UTC 2026","failed","Thu Jan 29 23:56:56 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","41478","Test Checkout Split MK Guest User","","Thu Jan 29 23:40:32 UTC 2026","failed","Thu Jan 29 23:41:14 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","32204","Test Checkout Split BT Moto Guest User","","Thu Jan 29 23:53:45 UTC 2026","failed","Thu Jan 29 23:54:17 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","21512","Test Checkout Split MK Moto Guest User","","Fri Jan 30 00:00:42 UTC 2026","failed","Fri Jan 30 00:01:03 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","74678","Test Checkout Split ST BT Moto Recurrent User","","Thu Jan 29 23:59:27 UTC 2026","failed","Fri Jan 30 00:00:42 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","168584","Test Checkout Small Ticket New User","","Thu Jan 29 23:33:17 UTC 2026","failed","Thu Jan 29 23:36:05 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","159432","Test Checkout Split MK New User","","Thu Jan 29 23:41:14 UTC 2026","failed","Thu Jan 29 23:43:53 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
