"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38656","Test Checkout Split ST BT MK Guest User","","Wed Jan 28 16:40:49 UTC 2026","failed","Wed Jan 28 16:41:28 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","10163","Test Checkout Split ST BT Moto Recurrent User","","Wed Jan 28 16:44:08 UTC 2026","failed","Wed Jan 28 16:44:18 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","10006","Test Checkout Split Siman Recurrent User","","Wed Jan 28 16:39:40 UTC 2026","failed","Wed Jan 28 16:39:50 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","29002","Test Checkout Split BT Moto Guest User","","Wed Jan 28 16:42:38 UTC 2026","passed","Wed Jan 28 16:43:07 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","25446","Test Checkout Split MK Moto Guest User","","Wed Jan 28 16:44:18 UTC 2026","passed","Wed Jan 28 16:44:43 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","20429","Test Checkout Small Ticket New User","","Wed Jan 28 16:38:36 UTC 2026","failed","Wed Jan 28 16:38:56 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","10761","Test Checkout Split MK Moto New User","","Wed Jan 28 16:44:43 UTC 2026","failed","Wed Jan 28 16:44:54 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","9944","Test Checkout Split BT Moto Recurrent User","","Wed Jan 28 16:43:18 UTC 2026","failed","Wed Jan 28 16:43:28 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","38603","Test Checkout Split MK Guest User","","Wed Jan 28 16:39:50 UTC 2026","failed","Wed Jan 28 16:40:29 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","11692","Test Checkout Split ST BT Moto New User","","Wed Jan 28 16:43:56 UTC 2026","failed","Wed Jan 28 16:44:08 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","11194","Test Checkout Split MK New User","","Wed Jan 28 16:40:29 UTC 2026","failed","Wed Jan 28 16:40:40 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","10093","Test Checkout Split ST BT MK Recurrent User","","Wed Jan 28 16:41:39 UTC 2026","failed","Wed Jan 28 16:41:49 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","10695","Test Checkout Split ST Moto New User","","Wed Jan 28 16:42:18 UTC 2026","failed","Wed Jan 28 16:42:29 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","9357","Test Checkout Split ST Moto Recurrent User","","Wed Jan 28 16:42:29 UTC 2026","failed","Wed Jan 28 16:42:38 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27631","Test Checkout Split ST BT Moto Guest User","","Wed Jan 28 16:43:28 UTC 2026","passed","Wed Jan 28 16:43:56 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27517","Test Checkout Split ST BT MK Moto Guest User","","Wed Jan 28 16:45:04 UTC 2026","passed","Wed Jan 28 16:45:31 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","11631","Test Checkout Split Siman New User","","Wed Jan 28 16:39:28 UTC 2026","failed","Wed Jan 28 16:39:40 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","9544","Test Checkout Split MK Moto Recurrent User","","Wed Jan 28 16:44:54 UTC 2026","failed","Wed Jan 28 16:45:04 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","9526","Test Checkout Split MK Recurrent User","","Wed Jan 28 16:40:40 UTC 2026","failed","Wed Jan 28 16:40:49 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","11443","Test Checkout Split BT Moto New User","","Wed Jan 28 16:43:07 UTC 2026","failed","Wed Jan 28 16:43:18 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","11925","Test Checkout Split ST BT MK Moto New User","","Wed Jan 28 16:45:31 UTC 2026","failed","Wed Jan 28 16:45:43 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","11412","Test Checkout Split ST BT MK Moto Recurrent User","","Wed Jan 28 16:45:43 UTC 2026","failed","Wed Jan 28 16:45:54 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","11155","Test Checkout Split ST BT MK New User","","Wed Jan 28 16:41:28 UTC 2026","failed","Wed Jan 28 16:41:39 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","32128","Test Checkout Split Siman Guest User","","Wed Jan 28 16:38:56 UTC 2026","passed","Wed Jan 28 16:39:28 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","28651","Test Checkout Split ST Moto Guest User","","Wed Jan 28 16:41:49 UTC 2026","passed","Wed Jan 28 16:42:18 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
