"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5509","Test Checkout Split ST BT MK Moto New User","","Wed Jan 28 16:19:40 UTC 2026","failed","Wed Jan 28 16:19:45 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5406","Test Checkout Split ST BT Moto Guest User","","Wed Jan 28 16:19:02 UTC 2026","failed","Wed Jan 28 16:19:07 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5013","Test Checkout Split MK Recurrent User","","Wed Jan 28 16:18:10 UTC 2026","failed","Wed Jan 28 16:18:15 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5206","Test Checkout Split ST Moto Guest User","","Wed Jan 28 16:18:30 UTC 2026","failed","Wed Jan 28 16:18:35 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5502","Test Checkout Split MK Guest User","","Wed Jan 28 16:17:59 UTC 2026","failed","Wed Jan 28 16:18:04 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5709","Test Checkout Split Siman Recurrent User","","Wed Jan 28 16:17:53 UTC 2026","failed","Wed Jan 28 16:17:59 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5269","Test Checkout Split ST BT Moto New User","","Wed Jan 28 16:19:07 UTC 2026","failed","Wed Jan 28 16:19:12 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5520","Test Checkout Split ST Moto New User","","Wed Jan 28 16:18:35 UTC 2026","failed","Wed Jan 28 16:18:41 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5515","Test Checkout Split MK Moto Guest User","","Wed Jan 28 16:19:18 UTC 2026","failed","Wed Jan 28 16:19:23 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5916","Test Checkout Split ST BT MK Moto Guest User","","Wed Jan 28 16:19:34 UTC 2026","failed","Wed Jan 28 16:19:40 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5139","Test Checkout Split ST BT MK New User","","Wed Jan 28 16:18:20 UTC 2026","failed","Wed Jan 28 16:18:25 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5285","Test Checkout Split MK Moto New User","","Wed Jan 28 16:19:23 UTC 2026","failed","Wed Jan 28 16:19:29 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","6404","Test Checkout Split Siman Guest User","","Wed Jan 28 16:17:41 UTC 2026","failed","Wed Jan 28 16:17:48 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5121","Test Checkout Split ST Moto Recurrent User","","Wed Jan 28 16:18:41 UTC 2026","failed","Wed Jan 28 16:18:46 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5319","Test Checkout Split Siman New User","","Wed Jan 28 16:17:48 UTC 2026","failed","Wed Jan 28 16:17:53 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5751","Test Checkout Split ST BT MK Moto Recurrent User","","Wed Jan 28 16:19:45 UTC 2026","failed","Wed Jan 28 16:19:51 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5151","Test Checkout Split BT Moto New User","","Wed Jan 28 16:18:51 UTC 2026","failed","Wed Jan 28 16:18:57 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5117","Test Checkout Split ST BT MK Recurrent User","","Wed Jan 28 16:18:25 UTC 2026","failed","Wed Jan 28 16:18:30 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5316","Test Checkout Split BT Moto Guest User","","Wed Jan 28 16:18:46 UTC 2026","failed","Wed Jan 28 16:18:51 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5188","Test Checkout Split BT Moto Recurrent User","","Wed Jan 28 16:18:57 UTC 2026","failed","Wed Jan 28 16:19:02 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5251","Test Checkout Split ST BT MK Guest User","","Wed Jan 28 16:18:15 UTC 2026","failed","Wed Jan 28 16:18:20 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5272","Test Checkout Split MK Moto Recurrent User","","Wed Jan 28 16:19:29 UTC 2026","failed","Wed Jan 28 16:19:34 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5302","Test Checkout Split MK New User","","Wed Jan 28 16:18:04 UTC 2026","failed","Wed Jan 28 16:18:10 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","5286","Test Checkout Split ST BT Moto Recurrent User","","Wed Jan 28 16:19:12 UTC 2026","failed","Wed Jan 28 16:19:18 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"Verifica flujo de checkout para pequeño ticket con nuevo usuario.","15945","Test Checkout Small Ticket New User","","Wed Jan 28 16:17:25 UTC 2026","failed","Wed Jan 28 16:17:41 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
