"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75143","Test Checkout Split ST BT MK Moto Recurrent User","","Thu Jan 29 02:50:12 UTC 2026","failed","Thu Jan 29 02:51:27 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","75360","Test Checkout Split ST BT MK Recurrent User","","Thu Jan 29 02:35:14 UTC 2026","failed","Thu Jan 29 02:36:30 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","74936","Test Checkout Split ST BT Moto Recurrent User","","Thu Jan 29 02:44:13 UTC 2026","failed","Thu Jan 29 02:45:28 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","76097","Test Checkout Split ST Moto New User","","Thu Jan 29 02:36:59 UTC 2026","failed","Thu Jan 29 02:38:15 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","75315","Test Checkout Split MK Recurrent User","","Thu Jan 29 02:32:04 UTC 2026","failed","Thu Jan 29 02:33:20 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27091","Test Checkout Split ST BT Moto Guest User","","Thu Jan 29 02:42:29 UTC 2026","passed","Thu Jan 29 02:42:56 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","29077","Test Checkout Split ST BT MK Moto Guest User","","Thu Jan 29 02:48:26 UTC 2026","passed","Thu Jan 29 02:48:55 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","39519","Test Checkout Split MK Guest User","","Thu Jan 29 02:30:08 UTC 2026","failed","Thu Jan 29 02:30:47 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","25991","Test Checkout Split MK Moto Guest User","","Thu Jan 29 02:45:28 UTC 2026","passed","Thu Jan 29 02:45:54 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","74665","Test Checkout Split ST Moto Recurrent User","","Thu Jan 29 02:38:15 UTC 2026","failed","Thu Jan 29 02:39:29 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27826","Test Checkout Split BT Moto Guest User","","Thu Jan 29 02:39:29 UTC 2026","passed","Thu Jan 29 02:39:57 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","36573","Test Checkout Split ST BT MK Guest User","","Thu Jan 29 02:33:20 UTC 2026","failed","Thu Jan 29 02:33:56 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","28977","Test Checkout Split ST Moto Guest User","","Thu Jan 29 02:36:30 UTC 2026","passed","Thu Jan 29 02:36:59 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","77794","Test Checkout Split ST BT MK New User","","Thu Jan 29 02:33:56 UTC 2026","failed","Thu Jan 29 02:35:14 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","77337","Test Checkout Split MK New User","","Thu Jan 29 02:30:47 UTC 2026","failed","Thu Jan 29 02:32:04 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","77243","Test Checkout Split MK Moto New User","","Thu Jan 29 02:45:54 UTC 2026","failed","Thu Jan 29 02:47:11 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","91936","Test Checkout Small Ticket New User","","Thu Jan 29 02:25:32 UTC 2026","failed","Thu Jan 29 02:27:04 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","76947","Test Checkout Split BT Moto New User","","Thu Jan 29 02:39:57 UTC 2026","failed","Thu Jan 29 02:41:14 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","77873","Test Checkout Split Siman New User","","Thu Jan 29 02:27:34 UTC 2026","failed","Thu Jan 29 02:28:52 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","75253","Test Checkout Split Siman Recurrent User","","Thu Jan 29 02:28:52 UTC 2026","failed","Thu Jan 29 02:30:08 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","75154","Test Checkout Split BT Moto Recurrent User","","Thu Jan 29 02:41:14 UTC 2026","failed","Thu Jan 29 02:42:29 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","76433","Test Checkout Split ST BT Moto New User","","Thu Jan 29 02:42:56 UTC 2026","failed","Thu Jan 29 02:44:13 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","74776","Test Checkout Split MK Moto Recurrent User","","Thu Jan 29 02:47:11 UTC 2026","failed","Thu Jan 29 02:48:26 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","30633","Test Checkout Split Siman Guest User","","Thu Jan 29 02:27:04 UTC 2026","passed","Thu Jan 29 02:27:34 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","77108","Test Checkout Split ST BT MK Moto New User","","Thu Jan 29 02:48:55 UTC 2026","failed","Thu Jan 29 02:50:12 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
