"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","82363","Test Checkout Split ST BT MK Moto Guest User","","Fri Feb 06 21:09:49 UTC 2026","failed","Fri Feb 06 21:11:11 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","36457","Test Checkout Split ST BT MK Guest User","","Fri Feb 06 20:55:48 UTC 2026","failed","Fri Feb 06 20:56:24 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","57247","Test Checkout Split ST Moto Recurrent User","","Fri Feb 06 20:58:56 UTC 2026","failed","Fri Feb 06 20:59:53 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","205786","Test Checkout Split MK New User","","Fri Feb 06 20:52:00 UTC 2026","failed","Fri Feb 06 20:55:26 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","37284","Test Checkout Split Siman Guest User","","Fri Feb 06 20:47:20 UTC 2026","passed","Fri Feb 06 20:47:58 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","23370","Test Checkout Split ST BT MK Moto Recurrent User","","Fri Feb 06 21:11:46 UTC 2026","failed","Fri Feb 06 21:12:09 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","29054","Test Checkout Split BT Moto Guest User","","Fri Feb 06 20:59:53 UTC 2026","passed","Fri Feb 06 21:00:22 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","23126","Test Checkout Split BT Moto Recurrent User","","Fri Feb 06 21:03:47 UTC 2026","failed","Fri Feb 06 21:04:10 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","56192","Test Checkout Split ST BT MK Recurrent User","","Fri Feb 06 20:56:53 UTC 2026","failed","Fri Feb 06 20:57:49 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","64156","Test Checkout Small Ticket New User","","Fri Feb 06 20:46:16 UTC 2026","failed","Fri Feb 06 20:47:20 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27190","Test Checkout Split MK Moto Guest User","","Fri Feb 06 21:05:32 UTC 2026","passed","Fri Feb 06 21:05:59 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","204876","Test Checkout Split BT Moto New User","","Fri Feb 06 21:00:22 UTC 2026","failed","Fri Feb 06 21:03:47 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","28789","Test Checkout Split ST BT Moto New User","","Fri Feb 06 21:04:40 UTC 2026","failed","Fri Feb 06 21:05:09 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","206709","Test Checkout Split MK Moto New User","","Fri Feb 06 21:05:59 UTC 2026","failed","Fri Feb 06 21:09:26 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","23185","Test Checkout Split ST BT Moto Recurrent User","","Fri Feb 06 21:05:09 UTC 2026","failed","Fri Feb 06 21:05:32 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","113189","Test Checkout Split Siman New User","","Fri Feb 06 20:47:58 UTC 2026","failed","Fri Feb 06 20:49:51 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","22021","Test Checkout Split MK Recurrent User","","Fri Feb 06 20:55:26 UTC 2026","failed","Fri Feb 06 20:55:48 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","39037","Test Checkout Split MK Guest User","","Fri Feb 06 20:51:21 UTC 2026","failed","Fri Feb 06 20:52:00 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","38566","Test Checkout Split ST Moto New User","","Fri Feb 06 20:58:17 UTC 2026","failed","Fri Feb 06 20:58:56 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","23051","Test Checkout Split MK Moto Recurrent User","","Fri Feb 06 21:09:26 UTC 2026","failed","Fri Feb 06 21:09:49 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","29856","Test Checkout Split ST BT Moto Guest User","","Fri Feb 06 21:04:10 UTC 2026","passed","Fri Feb 06 21:04:40 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","34143","Test Checkout Split ST BT MK Moto New User","","Fri Feb 06 21:11:11 UTC 2026","failed","Fri Feb 06 21:11:46 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","28422","Test Checkout Split ST Moto Guest User","","Fri Feb 06 20:57:49 UTC 2026","passed","Fri Feb 06 20:58:17 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","90172","Test Checkout Split Siman Recurrent User","","Fri Feb 06 20:49:51 UTC 2026","passed","Fri Feb 06 20:51:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","28314","Test Checkout Split ST BT MK New User","","Fri Feb 06 20:56:24 UTC 2026","failed","Fri Feb 06 20:56:53 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
