"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","97","Test Checkout Split ST BT Moto Guest User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:22 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27","Test Checkout Split ST BT MK New User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","333","Test Checkout Split ST BT MK Moto New User","","Wed Jan 28 16:13:23 UTC 2026","failed","Wed Jan 28 16:13:23 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","332","Test Checkout Split ST BT MK Moto Recurrent User","","Wed Jan 28 16:13:23 UTC 2026","failed","Wed Jan 28 16:13:23 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27","Test Checkout Split ST BT MK Guest User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","38","Test Checkout Split ST Moto Recurrent User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","58","Test Checkout Split BT Moto New User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27","Test Checkout Split ST BT MK Recurrent User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","26","Test Checkout Split MK New User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","19","Test Checkout Split Siman New User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","20","Test Checkout Split Siman Recurrent User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","57","Test Checkout Split BT Moto Guest User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","178","Test Checkout Split MK Moto New User","","Wed Jan 28 16:13:22 UTC 2026","failed","Wed Jan 28 16:13:22 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","22","Test Checkout Split MK Guest User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","177","Test Checkout Split MK Moto Guest User","","Wed Jan 28 16:13:22 UTC 2026","failed","Wed Jan 28 16:13:22 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","335","Test Checkout Split ST BT MK Moto Guest User","","Wed Jan 28 16:13:22 UTC 2026","failed","Wed Jan 28 16:13:23 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","19","Test Checkout Split Siman Guest User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","97","Test Checkout Split ST BT Moto Recurrent User","","Wed Jan 28 16:13:22 UTC 2026","failed","Wed Jan 28 16:13:22 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","57","Test Checkout Split BT Moto Recurrent User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","37","Test Checkout Split ST Moto New User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","39","Test Checkout Split ST Moto Guest User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","176","Test Checkout Split MK Moto Recurrent User","","Wed Jan 28 16:13:22 UTC 2026","failed","Wed Jan 28 16:13:22 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","21","Test Checkout Split MK Recurrent User","","Wed Jan 28 16:13:21 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","97","Test Checkout Split ST BT Moto New User","","Wed Jan 28 16:13:22 UTC 2026","failed","Wed Jan 28 16:13:22 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"Verifica flujo de checkout para pequeño ticket con nuevo usuario.","337","Test Checkout Small Ticket New User","","Wed Jan 28 16:13:20 UTC 2026","failed","Wed Jan 28 16:13:21 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
