"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37681","Test Checkout Split ST BT MK Moto New User","","Fri Jan 30 00:01:52 UTC 2026","failed","Fri Jan 30 00:02:29 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","74619","Test Checkout Split MK Moto Recurrent User","","Fri Jan 30 00:00:09 UTC 2026","failed","Fri Jan 30 00:01:23 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","98559","Test Checkout Split MK New User","","Thu Jan 29 23:39:57 UTC 2026","failed","Thu Jan 29 23:41:35 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","72744","Test Checkout Split Siman Recurrent User","","Thu Jan 29 23:38:06 UTC 2026","failed","Thu Jan 29 23:39:19 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","73891","Test Checkout Split ST BT MK Recurrent User","","Thu Jan 29 23:44:03 UTC 2026","failed","Thu Jan 29 23:45:17 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","158502","Test Checkout Split BT Moto New User","","Thu Jan 29 23:49:58 UTC 2026","failed","Thu Jan 29 23:52:37 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","37890","Test Checkout Split MK Guest User","","Thu Jan 29 23:39:19 UTC 2026","failed","Thu Jan 29 23:39:57 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","28252","Test Checkout Split ST BT MK Moto Guest User","","Fri Jan 30 00:01:23 UTC 2026","passed","Fri Jan 30 00:01:52 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","25711","Test Checkout Split MK Moto Guest User","","Thu Jan 29 23:57:07 UTC 2026","passed","Thu Jan 29 23:57:32 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","26679","Test Checkout Split BT Moto Guest User","","Thu Jan 29 23:49:32 UTC 2026","passed","Thu Jan 29 23:49:58 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","38238","Test Checkout Split ST BT MK Guest User","","Thu Jan 29 23:42:47 UTC 2026","failed","Thu Jan 29 23:43:25 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","72760","Test Checkout Split ST BT MK Moto Recurrent User","","Fri Jan 30 00:02:29 UTC 2026","failed","Fri Jan 30 00:03:42 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","30537","Test Checkout Split Siman Guest User","","Thu Jan 29 23:34:58 UTC 2026","passed","Thu Jan 29 23:35:29 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27574","Test Checkout Split ST BT Moto Guest User","","Thu Jan 29 23:53:49 UTC 2026","passed","Thu Jan 29 23:54:17 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","26946","Test Checkout Split ST Moto Guest User","","Thu Jan 29 23:45:17 UTC 2026","passed","Thu Jan 29 23:45:43 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","157181","Test Checkout Split Siman New User","","Thu Jan 29 23:35:29 UTC 2026","failed","Thu Jan 29 23:38:06 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","109588","Test Checkout Small Ticket New User","","Thu Jan 29 23:33:09 UTC 2026","failed","Thu Jan 29 23:34:58 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","71850","Test Checkout Split ST BT Moto Recurrent User","","Thu Jan 29 23:55:55 UTC 2026","failed","Thu Jan 29 23:57:07 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","98097","Test Checkout Split ST BT Moto New User","","Thu Jan 29 23:54:17 UTC 2026","failed","Thu Jan 29 23:55:55 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","72035","Test Checkout Split BT Moto Recurrent User","","Thu Jan 29 23:52:37 UTC 2026","failed","Thu Jan 29 23:53:49 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","156100","Test Checkout Split ST Moto New User","","Thu Jan 29 23:45:43 UTC 2026","failed","Thu Jan 29 23:48:20 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","156571","Test Checkout Split MK Moto New User","","Thu Jan 29 23:57:32 UTC 2026","failed","Fri Jan 30 00:00:09 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","37268","Test Checkout Split ST BT MK New User","","Thu Jan 29 23:43:25 UTC 2026","failed","Thu Jan 29 23:44:03 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","72157","Test Checkout Split ST Moto Recurrent User","","Thu Jan 29 23:48:20 UTC 2026","failed","Thu Jan 29 23:49:32 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","71669","Test Checkout Split MK Recurrent User","","Thu Jan 29 23:41:35 UTC 2026","failed","Thu Jan 29 23:42:47 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
