"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38675","Test Checkout Split ST BT MK Guest User","","Thu Jan 29 03:59:04 UTC 2026","failed","Thu Jan 29 03:59:43 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","71607","Test Checkout Split ST BT Moto New User","","Thu Jan 29 04:08:16 UTC 2026","failed","Thu Jan 29 04:09:28 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27579","Test Checkout Split MK Moto Guest User","","Thu Jan 29 04:10:38 UTC 2026","passed","Thu Jan 29 04:11:06 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","32103","Test Checkout Split Siman Guest User","","Thu Jan 29 03:53:09 UTC 2026","passed","Thu Jan 29 03:53:41 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","82702","Test Checkout Small Ticket New User","","Thu Jan 29 03:51:46 UTC 2026","failed","Thu Jan 29 03:53:09 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","70874","Test Checkout Split Siman New User","","Thu Jan 29 03:53:41 UTC 2026","failed","Thu Jan 29 03:54:52 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","39180","Test Checkout Split MK Guest User","","Thu Jan 29 03:56:03 UTC 2026","failed","Thu Jan 29 03:56:42 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","70326","Test Checkout Split ST BT Moto Recurrent User","","Thu Jan 29 04:09:28 UTC 2026","failed","Thu Jan 29 04:10:38 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","30129","Test Checkout Split ST BT Moto Guest User","","Thu Jan 29 04:07:46 UTC 2026","passed","Thu Jan 29 04:08:16 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","70913","Test Checkout Split ST BT MK New User","","Thu Jan 29 03:59:43 UTC 2026","failed","Thu Jan 29 04:00:54 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","70753","Test Checkout Split BT Moto Recurrent User","","Thu Jan 29 04:06:35 UTC 2026","failed","Thu Jan 29 04:07:46 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","71725","Test Checkout Split ST BT MK Moto New User","","Thu Jan 29 04:14:08 UTC 2026","failed","Thu Jan 29 04:15:20 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","71406","Test Checkout Split BT Moto New User","","Thu Jan 29 04:05:24 UTC 2026","failed","Thu Jan 29 04:06:35 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","73056","Test Checkout Split ST Moto New User","","Thu Jan 29 04:02:32 UTC 2026","failed","Thu Jan 29 04:03:45 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","71191","Test Checkout Split Siman Recurrent User","","Thu Jan 29 03:54:52 UTC 2026","failed","Thu Jan 29 03:56:03 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","70188","Test Checkout Split MK Recurrent User","","Thu Jan 29 03:57:54 UTC 2026","failed","Thu Jan 29 03:59:04 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","74620","Test Checkout Split MK Moto Recurrent User","","Thu Jan 29 04:12:17 UTC 2026","failed","Thu Jan 29 04:13:32 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","71478","Test Checkout Split MK Moto New User","","Thu Jan 29 04:11:06 UTC 2026","failed","Thu Jan 29 04:12:17 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","71753","Test Checkout Split ST Moto Recurrent User","","Thu Jan 29 04:03:45 UTC 2026","failed","Thu Jan 29 04:04:57 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","71376","Test Checkout Split MK New User","","Thu Jan 29 03:56:42 UTC 2026","failed","Thu Jan 29 03:57:54 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27181","Test Checkout Split ST Moto Guest User","","Thu Jan 29 04:02:05 UTC 2026","passed","Thu Jan 29 04:02:32 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","36078","Test Checkout Split ST BT MK Moto Guest User","","Thu Jan 29 04:13:32 UTC 2026","passed","Thu Jan 29 04:14:08 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","70141","Test Checkout Split ST BT MK Moto Recurrent User","","Thu Jan 29 04:15:20 UTC 2026","failed","Thu Jan 29 04:16:30 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","71071","Test Checkout Split ST BT MK Recurrent User","","Thu Jan 29 04:00:54 UTC 2026","failed","Thu Jan 29 04:02:05 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27144","Test Checkout Split BT Moto Guest User","","Thu Jan 29 04:04:57 UTC 2026","passed","Thu Jan 29 04:05:24 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
