"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","100445","Test Checkout Split ST Moto New User","","Thu Jan 29 02:37:45 UTC 2026","passed","Thu Jan 29 02:39:26 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","74887","Test Checkout Split ST Moto Recurrent User","","Thu Jan 29 02:39:26 UTC 2026","failed","Thu Jan 29 02:40:40 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","76879","Test Checkout Split ST BT MK Moto Recurrent User","","Thu Jan 29 02:51:55 UTC 2026","failed","Thu Jan 29 02:53:12 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","77852","Test Checkout Split ST BT MK New User","","Thu Jan 29 02:34:42 UTC 2026","failed","Thu Jan 29 02:36:00 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","75459","Test Checkout Split BT Moto Recurrent User","","Thu Jan 29 02:42:50 UTC 2026","failed","Thu Jan 29 02:44:06 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","106248","Test Checkout Split Siman New User","","Thu Jan 29 02:27:16 UTC 2026","passed","Thu Jan 29 02:29:02 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","77033","Test Checkout Split MK Moto New User","","Thu Jan 29 02:47:34 UTC 2026","failed","Thu Jan 29 02:48:51 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","79061","Test Checkout Split ST BT MK Moto New User","","Thu Jan 29 02:50:36 UTC 2026","failed","Thu Jan 29 02:51:55 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","111724","Test Checkout Split MK New User","","Thu Jan 29 02:30:57 UTC 2026","failed","Thu Jan 29 02:32:49 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","76636","Test Checkout Split ST BT Moto New User","","Thu Jan 29 02:44:34 UTC 2026","failed","Thu Jan 29 02:45:51 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","102318","Test Checkout Split BT Moto New User","","Thu Jan 29 02:41:08 UTC 2026","passed","Thu Jan 29 02:42:50 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","26890","Test Checkout Split MK Moto Guest User","","Thu Jan 29 02:47:07 UTC 2026","passed","Thu Jan 29 02:47:34 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","39175","Test Checkout Split MK Guest User","","Thu Jan 29 02:30:18 UTC 2026","failed","Thu Jan 29 02:30:57 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27093","Test Checkout Split ST Moto Guest User","","Thu Jan 29 02:37:18 UTC 2026","passed","Thu Jan 29 02:37:45 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","28032","Test Checkout Split ST BT MK Moto Guest User","","Thu Jan 29 02:50:08 UTC 2026","passed","Thu Jan 29 02:50:36 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","76121","Test Checkout Split ST BT Moto Recurrent User","","Thu Jan 29 02:45:51 UTC 2026","failed","Thu Jan 29 02:47:07 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","33038","Test Checkout Split Siman Guest User","","Thu Jan 29 02:26:43 UTC 2026","passed","Thu Jan 29 02:27:16 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","76885","Test Checkout Split MK Moto Recurrent User","","Thu Jan 29 02:48:51 UTC 2026","failed","Thu Jan 29 02:50:08 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","91189","Test Checkout Small Ticket New User","","Thu Jan 29 02:25:11 UTC 2026","failed","Thu Jan 29 02:26:43 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27582","Test Checkout Split BT Moto Guest User","","Thu Jan 29 02:40:40 UTC 2026","passed","Thu Jan 29 02:41:08 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","77760","Test Checkout Split ST BT MK Recurrent User","","Thu Jan 29 02:36:00 UTC 2026","failed","Thu Jan 29 02:37:18 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","28157","Test Checkout Split ST BT Moto Guest User","","Thu Jan 29 02:44:06 UTC 2026","passed","Thu Jan 29 02:44:34 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","75289","Test Checkout Split MK Recurrent User","","Thu Jan 29 02:32:49 UTC 2026","failed","Thu Jan 29 02:34:04 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","38454","Test Checkout Split ST BT MK Guest User","","Thu Jan 29 02:34:04 UTC 2026","failed","Thu Jan 29 02:34:42 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","75811","Test Checkout Split Siman Recurrent User","","Thu Jan 29 02:29:02 UTC 2026","failed","Thu Jan 29 02:30:18 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
