"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94873","Test Checkout Split BT Moto Recurrent User","","Thu Jan 29 03:17:16 UTC 2026","failed","Thu Jan 29 03:18:51 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","28973","Test Checkout Split ST BT MK Moto Guest User","","Thu Jan 29 03:26:11 UTC 2026","passed","Thu Jan 29 03:26:40 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","94925","Test Checkout Split MK Moto Recurrent User","","Thu Jan 29 03:24:36 UTC 2026","failed","Thu Jan 29 03:26:11 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","96644","Test Checkout Split ST BT MK Moto New User","","Thu Jan 29 03:26:40 UTC 2026","failed","Thu Jan 29 03:28:17 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","37883","Test Checkout Split MK Guest User","","Thu Jan 29 03:03:44 UTC 2026","failed","Thu Jan 29 03:04:22 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","97869","Test Checkout Split MK Moto New User","","Thu Jan 29 03:22:58 UTC 2026","failed","Thu Jan 29 03:24:36 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","96413","Test Checkout Split Siman New User","","Thu Jan 29 03:00:31 UTC 2026","failed","Thu Jan 29 03:02:08 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","98005","Test Checkout Split ST Moto New User","","Thu Jan 29 03:11:57 UTC 2026","failed","Thu Jan 29 03:13:35 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","95212","Test Checkout Split ST BT Moto Recurrent User","","Thu Jan 29 03:20:57 UTC 2026","failed","Thu Jan 29 03:22:32 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","29125","Test Checkout Split ST Moto Guest User","","Thu Jan 29 03:11:28 UTC 2026","passed","Thu Jan 29 03:11:57 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","97594","Test Checkout Split ST BT Moto New User","","Thu Jan 29 03:19:19 UTC 2026","failed","Thu Jan 29 03:20:57 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","97894","Test Checkout Split MK New User","","Thu Jan 29 03:04:22 UTC 2026","failed","Thu Jan 29 03:06:00 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","26059","Test Checkout Split MK Moto Guest User","","Thu Jan 29 03:22:32 UTC 2026","passed","Thu Jan 29 03:22:58 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","94811","Test Checkout Split MK Recurrent User","","Thu Jan 29 03:06:00 UTC 2026","failed","Thu Jan 29 03:07:35 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","96349","Test Checkout Split Siman Recurrent User","","Thu Jan 29 03:02:08 UTC 2026","failed","Thu Jan 29 03:03:44 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","39052","Test Checkout Split ST BT MK Guest User","","Thu Jan 29 03:07:35 UTC 2026","failed","Thu Jan 29 03:08:14 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","34698","Test Checkout Split Siman Guest User","","Thu Jan 29 02:59:56 UTC 2026","passed","Thu Jan 29 03:00:31 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","96295","Test Checkout Split BT Moto New User","","Thu Jan 29 03:15:40 UTC 2026","failed","Thu Jan 29 03:17:16 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","95579","Test Checkout Split ST Moto Recurrent User","","Thu Jan 29 03:13:35 UTC 2026","failed","Thu Jan 29 03:15:11 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","104676","Test Checkout Small Ticket New User","","Thu Jan 29 02:58:12 UTC 2026","failed","Thu Jan 29 02:59:56 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","96454","Test Checkout Split ST BT MK Recurrent User","","Thu Jan 29 03:09:52 UTC 2026","failed","Thu Jan 29 03:11:28 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","96028","Test Checkout Split ST BT MK Moto Recurrent User","","Thu Jan 29 03:28:17 UTC 2026","failed","Thu Jan 29 03:29:53 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","28888","Test Checkout Split BT Moto Guest User","","Thu Jan 29 03:15:11 UTC 2026","passed","Thu Jan 29 03:15:40 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","97895","Test Checkout Split ST BT MK New User","","Thu Jan 29 03:08:14 UTC 2026","failed","Thu Jan 29 03:09:52 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","28635","Test Checkout Split ST BT Moto Guest User","","Thu Jan 29 03:18:51 UTC 2026","passed","Thu Jan 29 03:19:19 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
